keyboard: U+E000
0: U+E001
0_outline: U+E002
1: U+E003
1_outline: U+E004
2: U+E005
2_outline: U+E006
3: U+E007
3_outline: U+E008
4: U+E009
4_outline: U+E00A
5: U+E00B
5_outline: U+E00C
6: U+E00D
6_outline: U+E00E
7: U+E00F
7_outline: U+E010
8: U+E011
8_outline: U+E012
9: U+E013
9_outline: U+E014
A: U+E015
A_outline: U+E016
Alt: U+E017
Alt_outline: U+E018
keyboard_any: U+E019
keyboard_any_outline: U+E01A
keyboard_apostrophe: U+E01B
keyboard_apostrophe_outline: U+E01C
Down: U+E01D
Down_outline: U+E01E
Left: U+E01F
Left_outline: U+E020
Right: U+E021
Right_outline: U+E022
Up: U+E023
Up_outline: U+E024
keyboard_arrows: U+E025
keyboard_arrows_all: U+E026
keyboard_arrows_down: U+E027
keyboard_arrows_down_outline: U+E028
keyboard_arrows_horizontal: U+E029
keyboard_arrows_horizontal_outline: U+E02A
keyboard_arrows_left: U+E02B
keyboard_arrows_left_outline: U+E02C
keyboard_arrows_none: U+E02D
keyboard_arrows_right: U+E02E
keyboard_arrows_right_outline: U+E02F
keyboard_arrows_up: U+E030
keyboard_arrows_up_outline: U+E031
keyboard_arrows_vertical: U+E032
keyboard_arrows_vertical_outline: U+E033
keyboard_asterisk: U+E034
keyboard_asterisk_outline: U+E035
B: U+E036
B_outline: U+E037
Backspace: U+E038
keyboard_backspace_icon: U+E039
keyboard_backspace_icon_alternative: U+E03A
keyboard_backspace_icon_alternative_outline: U+E03B
keyboard_backspace_icon_outline: U+E03C
keyboard_backspace_outline: U+E03D
keyboard_bracket_close: U+E03E
keyboard_bracket_close_outline: U+E03F
keyboard_bracket_greater: U+E040
keyboard_bracket_greater_outline: U+E041
keyboard_bracket_less: U+E042
keyboard_bracket_less_outline: U+E043
keyboard_bracket_open: U+E044
keyboard_bracket_open_outline: U+E045
C: U+E046
C_outline: U+E047
keyboard_capslock: U+E048
keyboard_capslock_icon: U+E049
keyboard_capslock_icon_outline: U+E04A
